"country","goal_number","analysis_prompt"
Afghanistan,"1","The UNSDG goal for Afghanistan has an index of 16 in 2024 and this has changed by -8.0 percent from the previous year. The years with the largest improvement of 12.0 percent are in the years: 2009.
Trends in the SDG indicators used to compute the index: 
Poverty headcount ratio at $2.15/day (%): 31.0000, Change from previous year in percent: -17.0000
Poverty headcount ratio at $3.65/day (%): 0.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of End poverty in all its forms everywhere is projected to be 83 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal1_projection: 72 
year: 2026, goal1_projection: 74 
year: 2027, goal1_projection: 76 
year: 2028, goal1_projection: 78 
year: 2029, goal1_projection: 80 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Intensity of multidimensional poverty** 
 with short desc: Multidimensional poverty is defined as being deprived in a range of health, education and living standards indicators. The intensity is the share of indicators in which people in multidimensional poverty are deprived on average. 
 Cite as Alkire, Kanagaratnam and Suppa (2024) - The Global Multidimensional Poverty Index (MPI) 2024 with url https://ourworldindata.org/grapher/intensity-of-multidimensional-poverty-hot?v=1&csvType=full&useColumnShortNames=true

2. Chart Title: **Consumer price index** 
 with short desc: The CPI shows the average price level of goods and services purchased by consumers. This is expressed relative to a base year – in this case 2010. For example, a CPI of 120 means that prices were 20% higher than in 2010. 
 Cite as International Monetary Fund, via World Bank (2025) with url https://ourworldindata.org/grapher/consumer-price-index?v=1&csvType=full&useColumnShortNames=true

"
Afghanistan,"2","The UNSDG goal for Afghanistan has an index of 34 in 2024 and this has changed by 0.0 percent from the previous year. The years with the largest improvement of 4.0 percent are in the years: 2005, 2009, 2018.
Trends in the SDG indicators used to compute the index: 
Prevalence of undernourishment (%): 30.0000, Change from previous year in percent: 0.0000
Prevalence of stunting in children under 5 years of age (%): 0.0000, Change from previous year in percent: 0.0000
Prevalence of wasting in children under 5 years of age (%): 78.0000, Change from previous year in percent: 0.0000
Minimum dietary diversity among children aged 6-23 months (%): 7.0000, Change from previous year in percent: 0.0000
Prevalence of obesity, BMI ≥ 30 (% of adult population): 49.0000, Change from previous year in percent: 0.0000
Human Trophic Level (best 2-3 worst): 64.0000, Change from previous year in percent: 0.0000
Cereal yield (tonnes per hectare of harvested land): 30.0000, Change from previous year in percent: 0.0000
Sustainable Nitrogen Management Index (best 0-1.41 worst): 10.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Zero Hunger is projected to be 41 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal2_projection: 39 
year: 2026, goal2_projection: 39 
year: 2027, goal2_projection: 39 
year: 2028, goal2_projection: 40 
year: 2029, goal2_projection: 40 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Share of people who are undernourished** 
 with short desc:
 Cite as Food and Agriculture Organization of the United Nations (2025) with url https://ourworldindata.org/grapher/prevalence-of-undernourishment?v=1&csvType=full&useColumnShortNames=true

2. Chart Title: **Daily protein supply from animal and plant-based foods** 
 with short desc: Daily per capita protein supply is measured in grams per person per day. Protein of animal origin includes protein from all meat commodities, eggs and dairy products, and fish & seafood. 
 Cite as Food and Agriculture Organization of the United Nations (2024) with url https://ourworldindata.org/grapher/daily-protein-supply-from-animal-and-plant-based-foods?v=1&csvType=full&useColumnShortNames=true

3. Chart Title: **Share of children who have anemia** 
 with short desc: Share of children under the age of five with anemia. Anemia is a condition that develops when your blood lacks enough healthy red blood cells or hemoglobin. 
 Cite as World Health Organization, via World Bank (2025) with url https://ourworldindata.org/grapher/prevalence-of-anemia-in-children?v=1&csvType=full&useColumnShortNames=true

4. Chart Title: **Share of women of reproductive age who have anemia** 
 with short desc: Share of women of reproductive age (aged 15-49) with anemia. Anemia is a condition that develops when your blood lacks enough healthy red blood cells or hemoglobin. 
 Cite as World Health Organization, via World Bank (2025) with url https://ourworldindata.org/grapher/prevalence-of-anemia-in-women-of-reproductive-age-aged-15-29?v=1&csvType=full&useColumnShortNames=true

5. Chart Title: **Daily supply of calories per person** 
 with short desc: Measured in kilocalories per person per day. This indicates the calories that are available for consumption, but does not necessarily measure the number of calories actually consumed, since it doesn't factor in consumer waste. 
 Cite as Food and Agriculture Organization of the United Nations (2024) and other sources with url https://ourworldindata.org/grapher/daily-per-capita-caloric-supply?v=1&csvType=full&useColumnShortNames=true

"
Afghanistan,"3","The UNSDG goal for Afghanistan has an index of 37 in 2024 and this has changed by 0.0 percent from the previous year. The years with the largest improvement of 4.0 percent are in the years: 2009.
Trends in the SDG indicators used to compute the index: 
Maternal mortality ratio (per 100,000 live births) : 36.0000, Change from previous year in percent: 0.0000
Neonatal mortality rate (per 1,000 live births): 14.0000, Change from previous year in percent: 0.0000
Mortality rate, under-5 (per 1,000 live births): 59.0000, Change from previous year in percent: 0.0000
Incidence of tuberculosis (per 100,000 population): 68.0000, Change from previous year in percent: 0.0000
New HIV infections (per 1,000 uninfected population, all ages): 99.0000, Change from previous year in percent: 0.0000
Age-standardized death rate due to cardiovascular disease, cancer, diabetes, or chronic respiratory disease in adults aged 30 to 70 years (%): 0.0000, Change from previous year in percent: 0.0000
Age-standardized death rate attributable to household air pollution and ambient air pollution (per 100,000 population): 28.0000, Change from previous year in percent: 0.0000
Traffic deaths (per 100,000 population): 31.0000, Change from previous year in percent: 0.0000
Life expectancy at birth (years): 42.0000, Change from previous year in percent: 0.0000
Adolescent fertility rate (births per 1,000 females aged 15 to 19): 57.0000, Change from previous year in percent: 0.0000
Births attended by skilled health personnel (%): 58.0000, Change from previous year in percent: 0.0000
Surviving infants who received 2 WHO-recommended vaccines (%): 24.0000, Change from previous year in percent: 0.0000
Universal health coverage (UHC) index of service coverage (worst 0-100 best): 4.0000, Change from previous year in percent: 0.0000
Subjective well-being (average ladder score, worst 0-10 best): 0.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Good Health and Well-Being is projected to be 43 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal3_projection: 39 
year: 2026, goal3_projection: 40 
year: 2027, goal3_projection: 41 
year: 2028, goal3_projection: 41 
year: 2029, goal3_projection: 42 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Life expectancy** 
 with short desc:
 Cite as Riley (2005); Zijdeman et al. (2015); HMD (2024); UN WPP (2024) with url https://ourworldindata.org/grapher/life-expectancy?v=1&csvType=full&useColumnShortNames=true

2. Chart Title: **Child mortality rate** 
 with short desc: Estimated share of newborns who die before reaching the age of five. 
 Cite as Gapminder (2015); UN Inter-agency Group for Child Mortality Estimation (2025) with url https://ourworldindata.org/grapher/child-mortality?v=1&csvType=full&useColumnShortNames=true

3. Chart Title: **Maternal mortality ratio** 
 with short desc: Estimated number of women who die from [maternal conditions](#dod:maternal-mortality) per 100,000 live births. 
 Cite as UN MMEIG (2023) with url https://ourworldindata.org/grapher/maternal-mortality-slope-chart?v=1&csvType=full&useColumnShortNames=true

4. Chart Title: **Vaccination coverage** 
 with short desc: Share of one-year-olds who have been immunized against a disease or a pathogen. 
 Cite as WHO & UNICEF (2025); UN, World Population Prospects (2024) with url https://ourworldindata.org/grapher/global-vaccination-coverage?v=1&csvType=full&useColumnShortNames=true

"
Afghanistan,"4","The UNSDG goal for Afghanistan has an index of 41 in 2024 and this has changed by 0.0 percent from the previous year. The years with the largest improvement of 19.0 percent are in the years: 2015.
Trends in the SDG indicators used to compute the index: 
Lower secondary completion rate (%): 51.0000, Change from previous year in percent: 0.0000
Literacy rate (% of population aged 15 to 24): 32.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Quality Education is projected to be 29 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal4_projection: 23 
year: 2026, goal4_projection: 25 
year: 2027, goal4_projection: 26 
year: 2028, goal4_projection: 27 
year: 2029, goal4_projection: 28 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Literacy rate of young men and women** 
 with short desc: Share of male and female population aged 15-24 who can both read and write a short, simple statement about their everyday life. 
 Cite as UNESCO Institute for Statistics (UIS), via World Bank (2025) with url https://ourworldindata.org/grapher/literacy-rate-of-young-men-and-women-line?v=1&csvType=full&useColumnShortNames=true

"
Afghanistan,"5","The UNSDG goal for Afghanistan has an index of 20 in 2024 and this has changed by 0.0 percent from the previous year. The years with the largest improvement of 3.0 percent are in the years: 2019, 2020, 2021.
Trends in the SDG indicators used to compute the index: 
Demand for family planning satisfied by modern methods (% of females aged 15 to 49): 28.0000, Change from previous year in percent: 2.0000
Ratio of female-to-male mean years of education received (%): 0.0000, Change from previous year in percent: 0.0000
Ratio of female-to-male labor force participation rate (%): 0.0000, Change from previous year in percent: 0.0000
Seats held by women in national parliament (%): 53.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Gender Equality is projected to be 31 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal5_projection: 27 
year: 2026, goal5_projection: 28 
year: 2027, goal5_projection: 29 
year: 2028, goal5_projection: 29 
year: 2029, goal5_projection: 30 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Gender gap in primary, secondary and tertiary education** 
 with short desc: Share of boys or girls within the relevant age group who are enrolled in [primary](#dod:primary-education), [lower secondary](#dod:lower-secondary-education), [upper secondary](#dod:upper-secondary-education), and [tertiary](#dod:tertiary-education) education. 
 Cite as Multiple sources compiled by World Bank (2024); Lee and Lee (2016); UNESCO Institute for Statistics (2025) with url https://ourworldindata.org/grapher/gender-gap-education-levels?v=1&csvType=full&useColumnShortNames=true

2. Chart Title: **Key features of women's political empowerment** 
 with short desc: The [indices](#dod:key-indices-women-political-empowerment) are by [V-Dem](#dod:v-dem), based on expert estimates, and range from 0 to 1 (most empowered). 
 Cite as V-Dem (2025) with url https://ourworldindata.org/grapher/key-features-of-womens-political-empowerment?v=1&csvType=full&useColumnShortNames=true

"
Afghanistan,"6","The UNSDG goal for Afghanistan has an index of 51 in 2024 and this has changed by 0.0 percent from the previous year. The years with the largest improvement of 5.0 percent are in the years: 2009.
Trends in the SDG indicators used to compute the index: 
Population using at least basic drinking water services (%): 70.0000, Change from previous year in percent: 0.0000
Population using at least basic sanitation services (%): 51.0000, Change from previous year in percent: 0.0000
Freshwater withdrawal (% of available freshwater resources): 52.0000, Change from previous year in percent: 0.0000
Anthropogenic wastewater that receives treatment (%): 0.0000, Change from previous year in percent: 0.0000
Scarce water consumption embodied in imports (m³ H₂Oeq/capita): 83.0000, Change from previous year in percent: 1.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Clean Water and Sanitation is projected to be 64 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal6_projection: 55 
year: 2026, goal6_projection: 56 
year: 2027, goal6_projection: 58 
year: 2028, goal6_projection: 60 
year: 2029, goal6_projection: 62 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Drinking water services usage in rural areas** 
 with short desc: Rural population using the five different levels of drinking water services: [safely managed](#dod:water-safely-managed); [basic](#dod:water-basic), [limited](#dod:water-limited), [unimproved](#dod:water-unimproved) and [surface water](#dod:water-surface-water). 
 Cite as WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (JMP) (2024) with url https://ourworldindata.org/grapher/drinking-water-services-coverage-rural?v=1&csvType=full&useColumnShortNames=true

2. Chart Title: **Share of the population with access to basic services** 
 with short desc:
 Cite as Data compiled from multiple sources by World Bank; World Health Organization (via World Bank); WHO/UNICEF Joint Monitoring Programme (JMP), via World Bank (2025) with url https://ourworldindata.org/grapher/access-to-basic-services?v=1&csvType=full&useColumnShortNames=true

3. Chart Title: **People using at least a basic drinking water source** 
 with short desc: Basic drinking water services are defined as an improved drinking water source, provided collection time is not more than 30 minutes for a roundtrip including queuing. 
 Cite as WHO/UNICEF Joint Monitoring Programme for Water Supply, Sanitation and Hygiene (JMP) (2024) with url https://ourworldindata.org/grapher/people-with-access-to-at-least-basic-drinking-water?v=1&csvType=full&useColumnShortNames=true

"
Afghanistan,"7","The UNSDG goal for Afghanistan has an index of 34 in 2024 and this has changed by 0.0 percent from the previous year. The years with the largest improvement of 8.0 percent are in the years: 2012, 2014, 2016.
Trends in the SDG indicators used to compute the index: 
Population with access to electricity (%): 84.0000, Change from previous year in percent: 0.0000
Population with access to clean fuels and technology for cooking (%): 35.0000, Change from previous year in percent: 0.0000
CO₂ emissions from fuel combustion per total electricity output (MtCO₂/TWh): 0.0000, Change from previous year in percent: 0.0000
Renewable energy share in total final energy consumption (%): 16.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Affordable and Clean Energy is projected to be 31 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal7_projection: 30 
year: 2026, goal7_projection: 30 
year: 2027, goal7_projection: 30 
year: 2028, goal7_projection: 31 
year: 2029, goal7_projection: 31 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Share of electricity generation from fossil fuels, renewables and nuclear** 
 with short desc: Measured as a percentage of total electricity produced in the country or region. Fossil fuels include coal, oil, and gas. Renewables include solar, wind, hydropower, bioenergy, geothermal, wave, and tidal. 
 Cite as Ember (2025); Energy Institute - Statistical Review of World Energy (2025) with url https://ourworldindata.org/grapher/electricity-fossil-renewables-nuclear-line?v=1&csvType=full&useColumnShortNames=true

"
Afghanistan,"8","The UNSDG goal for Afghanistan has an index of 47 in 2024 and this has changed by 1.0 percent from the previous year. The years with the largest improvement of 1.0 percent are in the years: 2017, 2018, 2024.
Trends in the SDG indicators used to compute the index: 
Adjusted GDP growth index (worst 0-100 best): 24.0000, Change from previous year in percent: 0.0000
Victims of modern slavery (per 1,000 population): 41.0000, Change from previous year in percent: 0.0000
Adults with an account at a bank or other financial institution or with a mobile-money-service provider (% of population aged 15 or over): 2.0000, Change from previous year in percent: 0.0000
Unemployment rate (% of total labor force, ages 15+): 52.0000, Change from previous year in percent: 5.0000
Fundamental labor rights are effectively guaranteed (worst 0–1 best): 12.0000, Change from previous year in percent: 0.0000
Fatal work-related accidents embodied in imports (per million population): 100.0000, Change from previous year in percent: 0.0000
Victims of modern slavery embodied in imports (per 100,000 population): 98.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Decent Work and Economic Growth is projected to be 49 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal8_projection: 49 
year: 2026, goal8_projection: 49 
year: 2027, goal8_projection: 49 
year: 2028, goal8_projection: 49 
year: 2029, goal8_projection: 49 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Share of children in employment** 
 with short desc: Share of children ages 7-14 involved in economic activity for at least one hour in the reference week of the corresponding survey (irrespective of school attendance). 
 Cite as International Labour Organization, UNICEF, and World Bank (2025) with url https://ourworldindata.org/grapher/incidence-of-child-labour?v=1&csvType=full&useColumnShortNames=true

"
Afghanistan,"9","The UNSDG goal for Afghanistan has an index of 14 in 2024 and this has changed by 0.0 percent from the previous year. The years with the largest improvement of 5.0 percent are in the years: 2022.
Trends in the SDG indicators used to compute the index: 
Rural population with access to all-season roads (%): 33.0000, Change from previous year in percent: -2.0000
Population using the internet (%): 16.0000, Change from previous year in percent: 0.0000
Mobile broadband subscriptions (per 100 population): 55.0000, Change from previous year in percent: 0.0000
Logistics Performance Index: Infrastructure Score (worst 1-5 best): 5.0000, Change from previous year in percent: 0.0000
The Times Higher Education Universities Ranking: Average score of top 3 universities (worst 0-100 best): 0.0000, Change from previous year in percent: 0.0000
Articles published in academic journals (per 1,000 population): 1.0000, Change from previous year in percent: 0.0000
Expenditure on research and development (% of GDP): 0.0000, Change from previous year in percent: 0.0000
Total patent applications by applicant's origin (per million population): 0.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Industries,Innovation, and Infrastructure is projected to be 12 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal9_projection: 10 
year: 2026, goal9_projection: 11 
year: 2027, goal9_projection: 11 
year: 2028, goal9_projection: 11 
year: 2029, goal9_projection: 11 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Landline Internet subscriptions per 100 people** 
 with short desc: Subscriptions to fixed access to the public Internet with a download speed of at least 256 kbit/s. 
 Cite as International Telecommunication Union (ITU), via World Bank (2025) with url https://ourworldindata.org/grapher/broadband-penetration-by-country?v=1&csvType=full&useColumnShortNames=true

2. Chart Title: **Adoption of communication technologies per 100 people** 
 with short desc:
 Cite as International Telecommunication Union (ITU), via World Bank (2025) with url https://ourworldindata.org/grapher/ict-adoption-per-100-people?v=1&csvType=full&useColumnShortNames=true

"
Afghanistan,"11","The UNSDG goal for Afghanistan has an index of 34 in 2024 and this has changed by 0.0 percent from the previous year. The years with the largest improvement of 2.0 percent are in the years: 2005, 2009, 2012, 2019.
Trends in the SDG indicators used to compute the index: 
Proportion of urban population living in slums (%): 20.0000, Change from previous year in percent: 0.0000
Annual mean concentration of PM2.5 (μg/m³): 56.0000, Change from previous year in percent: 0.0000
Access to improved water source, piped (% of urban population): 39.0000, Change from previous year in percent: 0.0000
Population with convenient access to public transport in cities (%): 22.0000, Change from previous year in percent: 0.0000
Projecting out from the present 2025 to 2030 the UN SDG goal of Sustainable Cities and Communities is projected to be 33 in 2030, the trend leading up from the years 2025 to 2030: 
year: 2025, goal11_projection: 33 
year: 2026, goal11_projection: 33 
year: 2027, goal11_projection: 33 
year: 2028, goal11_projection: 33 
year: 2029, goal11_projection: 33 

Charts that contribute the most significant features to the projection:
1. Chart Title: **Share of people living in urban areas** 
 with short desc: The urban area is the share of people living in[cities](#dod:cities-degurba) and [towns](#dod:towns-degurba), as estimated by the European Commission using satellite imagery and census data. This differs from UN figures, which rely on national urban definitions. 
 Cite as European Commission, Joint Research Centre (JRC) (2024) with url https://ourworldindata.org/grapher/urban-share-european-commission?v=1&csvType=full&useColumnShortNames=true

2. Chart Title: **Population density of the capital city** 
 with short desc: The number of people per km² of land area for the country's capital city. 
 Cite as European Commission, Joint Research Centre (JRC) (2024) with url https://ourworldindata.org/grapher/population-density-of-the-capital-city?v=1&csvType=full&useColumnShortNames=true

3. Chart Title: **Share of the population with access to basic services** 
 with short desc:
 Cite as Data compiled from multiple sources by World Bank; World Health Organization (via World Bank); WHO/UNICEF Joint Monitoring Programme (JMP), via World Bank (2025) with url https://ourworldindata.org/grapher/access-to-basic-services?v=1&csvType=full&useColumnShortNames=true

"
